epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,86.1035,0.56919,2.17076,1.15278,0.78263,0.78,0.90711,0.84882,0.44824,0.94708,1.12444,0.000148004,0.000148004,0.000148004
103,86.9238,0.60508,2.28814,1.14666,0.8424,0.78,0.92601,0.86293,0.45875,0.95379,1.13151,0.000147637,0.000147637,0.000147637
104,87.7668,0.58624,2.39949,1.18016,0.84596,0.78,0.93364,0.85388,0.51481,0.94845,1.16362,0.000147271,0.000147271,0.000147271
105,88.567,0.69335,2.0556,1.20802,0.89399,0.78,0.97178,0.87726,0.55879,0.93283,1.19659,0.000146905,0.000146905,0.000146905
106,89.3957,0.56406,2.27958,1.10761,0.90172,0.8,0.98173,0.88422,0.54038,0.91573,1.18277,0.000146538,0.000146538,0.000146538
107,90.2252,0.63312,2.27699,1.14626,0.8142,0.84,0.97178,0.9028,0.48942,0.87319,1.14167,0.000146172,0.000146172,0.000146172
108,91.1467,0.48791,1.91284,1.09731,0.80642,0.9,0.97178,0.89882,0.44994,0.83441,1.11409,0.000145806,0.000145806,0.000145806
109,91.9742,0.58389,2.11729,1.13379,0.83403,0.84,0.98173,0.90479,0.46913,0.82736,1.12423,0.00014544,0.00014544,0.00014544
110,92.8014,0.51112,1.99716,1.11709,0.76382,0.88,0.97012,0.88754,0.48627,0.84364,1.13059,0.000145073,0.000145073,0.000145073
111,93.6071,0.54813,2.06439,1.10672,0.78468,0.84,0.95686,0.87311,0.49025,0.86991,1.1253,0.000144707,0.000144707,0.000144707
112,94.4222,0.64317,2.30848,1.21896,0.81477,0.84,0.9552,0.87013,0.49081,0.87597,1.11257,0.000144341,0.000144341,0.000144341
113,95.2187,0.5467,1.94387,1.0769,0.82452,0.84,0.95852,0.87096,0.49597,0.87279,1.10688,0.000143974,0.000143974,0.000143974
114,96.0211,0.5919,1.86045,1.14538,0.84753,0.86,0.95686,0.87742,0.46991,0.85334,1.09237,0.000143608,0.000143608,0.000143608
