epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,54.9699,0.73082,0.55944,0.96329,0.99569,1,0.995,0.84805,0.63375,0.45308,0.91949,0.00121224,0.00121224,0.00121224
126,55.3881,0.76011,0.57017,0.94928,0.99524,1,0.995,0.85751,0.63189,0.45576,0.91337,0.00120857,0.00120857,0.00120857
127,55.8008,0.79907,0.55535,1.02467,0.99524,1,0.995,0.85751,0.63189,0.45576,0.91337,0.00120491,0.00120491,0.00120491
128,56.2076,0.80185,0.5888,1.01115,0.99377,1,0.995,0.83698,0.64587,0.45869,0.91244,0.00120124,0.00120124,0.00120124
129,56.6151,0.70316,0.54341,0.981,0.99377,1,0.995,0.83698,0.64587,0.45869,0.91244,0.00119757,0.00119757,0.00119757
130,57.0353,0.7578,0.57494,1.00186,0.99202,1,0.995,0.85125,0.57951,0.44791,0.89875,0.00119391,0.00119391,0.00119391
131,57.4422,0.61932,0.5209,0.89663,0.99202,1,0.995,0.85125,0.57951,0.44791,0.89875,0.00119024,0.00119024,0.00119024
132,57.8603,0.79557,0.56176,1.00237,0.99024,1,0.995,0.83722,0.62127,0.47672,0.91254,0.00118657,0.00118657,0.00118657
133,58.2671,0.77461,0.59394,0.95747,0.99024,1,0.995,0.83722,0.62127,0.47672,0.91254,0.0011829,0.0011829,0.0011829
134,58.6762,0.6985,0.55345,0.98389,0.99024,1,0.995,0.85779,0.60393,0.4817,0.90547,0.00117924,0.00117924,0.00117924
135,59.0906,0.70632,0.55452,0.94114,0.99024,1,0.995,0.85779,0.60393,0.4817,0.90547,0.00117557,0.00117557,0.00117557
136,59.5281,0.66601,0.53216,0.97874,0.99149,1,0.995,0.87562,0.50898,0.44403,0.87844,0.0011719,0.0011719,0.0011719
137,59.9429,0.67209,0.53741,0.94852,0.99149,1,0.995,0.87562,0.50898,0.44403,0.87844,0.00116823,0.00116823,0.00116823
138,60.3726,0.63741,0.51106,0.95595,0.9949,1,0.995,0.89055,0.52756,0.43477,0.88478,0.00116457,0.00116457,0.00116457
139,60.7923,0.73411,0.56558,0.97969,0.9949,1,0.995,0.89055,0.52756,0.43477,0.88478,0.0011609,0.0011609,0.0011609
140,61.2356,0.69555,0.54701,0.95857,0.99587,1,0.995,0.90318,0.51798,0.42936,0.88115,0.00115723,0.00115723,0.00115723
141,61.6492,0.68429,0.53061,0.92704,0.99587,1,0.995,0.90318,0.51798,0.42936,0.88115,0.00115356,0.00115356,0.00115356
142,62.0791,0.75998,0.53285,1.01457,0.9965,1,0.995,0.84262,0.72118,0.45343,0.95434,0.0011499,0.0011499,0.0011499
143,62.49,0.76965,0.54511,1.00282,0.9965,1,0.995,0.84262,0.72118,0.45343,0.95434,0.00114623,0.00114623,0.00114623
144,62.9141,0.61285,0.50217,0.90354,0.99677,1,0.995,0.82419,0.72634,0.46137,0.95311,0.00114256,0.00114256,0.00114256
145,63.334,0.66063,0.49415,0.93068,0.99677,1,0.995,0.82419,0.72634,0.46137,0.95311,0.00113889,0.00113889,0.00113889
146,63.765,0.65816,0.52619,0.91402,0.99714,1,0.995,0.87838,0.51506,0.40624,0.88259,0.00113523,0.00113523,0.00113523
147,64.169,0.64332,0.51463,0.95672,0.99714,1,0.995,0.87838,0.51506,0.40624,0.88259,0.00113156,0.00113156,0.00113156
148,64.5914,0.76292,0.60085,1.03054,0.99689,1,0.995,0.89459,0.48784,0.37824,0.87936,0.00112789,0.00112789,0.00112789
149,65.0105,0.70844,0.50904,0.9596,0.99689,1,0.995,0.89459,0.48784,0.37824,0.87936,0.00112422,0.00112422,0.00112422
150,65.4353,0.67391,0.53592,0.93717,0.99611,1,0.995,0.89574,0.49885,0.39214,0.88921,0.00112056,0.00112056,0.00112056
151,65.8442,0.61759,0.48703,0.92322,0.99611,1,0.995,0.89574,0.49885,0.39214,0.88921,0.00111689,0.00111689,0.00111689
152,66.2741,0.65252,0.4822,0.93735,0.99682,1,0.995,0.85965,0.58206,0.40979,0.9329,0.00111322,0.00111322,0.00111322
153,66.6814,0.66966,0.52815,0.92697,0.99682,1,0.995,0.85965,0.58206,0.40979,0.9329,0.00110956,0.00110956,0.00110956
154,67.1006,0.63861,0.50295,0.9102,0.99431,1,0.995,0.86088,0.5994,0.42983,0.91582,0.00110589,0.00110589,0.00110589
